RecordNo,endtime,qweek,i12_health_1,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,weight,age,gender,state,household_size,employment_status,Vent_3,vac_boost_1,vac12_booster_other,vac_man_1,vac_man_2,vac_man_3,vac_man_4,vac_man_5,vac_man_6,vac_man_7,vac_man_96,vac_man_99,household_children_resp,future_1,future_2,had_covid_2,future_3
53289,23/03/2022 06:36,week 54,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,Always,Always,Sometimes,1.018565926,63,Female,New South Wales,1,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53290,23/03/2022 06:37,week 54,Sometimes,Sometimes,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,0.819212712,45,Female,Victoria,2,Part time employment,Not at all,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,1,3 – About the same,3 – About the same,No,3 – About the same
53291,23/03/2022 06:41,week 54,Not at all,Frequently,Always,Always,Not at all,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1.534271588,68,Female,Victoria,2,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53292,23/03/2022 06:52,week 54,Frequently,Frequently,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Sometimes,0.969339937,60,Female,Victoria,1,Not working,Frequently, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
53293,23/03/2022 07:06,week 54,Sometimes,Sometimes,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.969339937,51,Female,Victoria,2,Not working,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,Prefer not to say,3 – About the same,3 – About the same,No,3 – About the same
53294,23/03/2022 07:11,week 54,Always,Always,Always,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Rarely,Sometimes,Sometimes,Not at all,0.976049966,37,Female,New South Wales,3,Full time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,1 – A lot less impact,1 – A lot less impact,Yes,1 – A lot less impact
53295,23/03/2022 07:11,week 54,Always,Always,Always,Frequently,Not at all,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Not at all,0.976049966,46,Female,New South Wales,3,Part time employment,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,Yes,3 – About the same
53296,23/03/2022 07:24,week 54,Frequently,Frequently,Always,Frequently,Not at all,Frequently,Not at all,Rarely,Rarely,Rarely,Frequently,Not at all,0.976049966,38,Female,New South Wales,3,Not working,Frequently,No,__NA__,No,No,No,No,No,No,No,No,Yes,1,3 – About the same,3 – About the same,No,3 – About the same
53297,23/03/2022 07:26,week 54,Always,Always,Always,Always,Sometimes,Frequently,Not at all,Sometimes,Frequently,Frequently,Always,Sometimes,1.018565926,64,Female,New South Wales,1,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53298,23/03/2022 07:36,week 54,Not at all,Always,Not at all,Sometimes,Not at all,Always,Always,Not at all,Not at all,Not at all,Sometimes,Not at all,1.018565926,64,Female,New South Wales,2,Not working,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
53299,23/03/2022 07:42,week 54,Rarely,Always,Always,Sometimes,Sometimes,Not at all,Sometimes,Rarely,Rarely,Rarely,Frequently,Rarely,0.962285812,70,Male,New South Wales,3,Retired,Not at all,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,5 - A lot more of an impact,4,No,5 - A lot more of an impact
53300,23/03/2022 07:43,week 54,Always,Always,Always,Frequently,Sometimes,Sometimes,Always,Rarely,Rarely,Always,Frequently,Frequently,1.534271588,66,Female,Victoria,2,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,2
53301,23/03/2022 08:14,week 54,Always,Always,Always,Always,Frequently,Always,Sometimes,Frequently,Frequently,Always,Frequently,Frequently,1.095934088,46,Female,South Australia,3,Part time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,4,3 – About the same,No,2
53302,23/03/2022 08:47,week 54,Always,Always,Always,Always,Always,Sometimes,Always,Frequently,Frequently,Always,Always,Sometimes,0.723083305,41,Female,Queensland,2,Unemployed,Always,No,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53303,23/03/2022 08:52,week 54,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.985314419,44,Male,New South Wales,3,Full time employment,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3 – About the same,3 – About the same,No,3 – About the same
53304,23/03/2022 09:09,week 54,Always,Sometimes,Always,Always,Sometimes,Rarely,Sometimes,Sometimes,Always,Always,Always,Rarely,1.534271588,65,Female,Victoria,3,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53305,23/03/2022 09:16,week 54,Not at all,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.854896967,60,Female,Victoria,4,Full time employment,Not at all,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,1 – A lot less impact,1 – A lot less impact,Yes,1 – A lot less impact
53306,23/03/2022 09:21,week 54,Not at all,Frequently,Always,Frequently,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,Rarely,0.723083305,37,Female,Queensland,5,Part time employment,Rarely,No,I have a autoimmune and dose 2 flailed up my condition and floored me,No,No,No,No,No,No,No,No,Yes,3,5 - A lot more of an impact,5 - A lot more of an impact,No,5 - A lot more of an impact
53307,23/03/2022 09:32,week 54,Not at all,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.723083305,49,Female,Queensland,2,Full time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,1,4,2,Yes,2
53308,23/03/2022 20:20,week 54,Always,Frequently,Always,Frequently,Not at all,Sometimes,Not at all,Rarely,Sometimes,Sometimes,Sometimes,Rarely,0.962285812,76,Male,New South Wales,5,Retired,Rarely,Yes,__NA__,Yes,Yes,No,No,No,No,No,No,No,0,3 – About the same,3 – About the same,No,2
53309,23/03/2022 10:03,week 54,Sometimes,Frequently,Frequently,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Not at all,0.819212712,35,Female,Victoria,4,Full time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,2,4,3 – About the same,No,3 – About the same
53310,23/03/2022 10:28,week 54,Not at all,Always,Always,Always,Frequently,Not at all,Always,Sometimes,Rarely,Always,Always,Not at all,1.353131215,71,Female,Victoria,3,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,5 - A lot more of an impact,3 – About the same,No,2
53311,23/03/2022 10:45,week 54,Always,Always,Always,Always,Frequently,Not at all,Always,Sometimes,Frequently,Always,Always,Not at all,1.080148819,73,Female,South Australia,2,Retired,Always,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,5 - A lot more of an impact,5 - A lot more of an impact,No,3 – About the same
53312,23/03/2022 10:59,week 54,Not at all,Sometimes,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.95916126,62,Male,New South Wales,2,Full time employment,Not at all,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,2
53313,23/03/2022 11:35,week 54,Frequently,Frequently,Always,Always,Sometimes,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,1.103762522,32,Male,Victoria,2,Full time employment,Frequently,No,__NA__,No,No,No,No,No,No,No,No,Yes,Prefer not to say,3 – About the same,3 – About the same,Yes,1 – A lot less impact
53314,23/03/2022 13:04,week 54,Rarely,Sometimes,Always,Always,Not at all,Not at all,Not at all,Rarely,Rarely,Sometimes,Not at all,Not at all,0.985314419,48,Male,New South Wales,4,Full time employment,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,2,3 – About the same,3 – About the same,Yes,3 – About the same
53315,23/03/2022 14:44,week 54,Frequently,Sometimes,Always,Frequently,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,1.664187679,20,Male,Victoria,5,Unemployed,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53316,23/03/2022 18:56,week 54,Frequently,Sometimes,Always,Always,Frequently,Frequently,Frequently,Always,Always,Always,Frequently,Always,1.881747455,23,Male,New South Wales,5,Part time employment,Sometimes,No,__NA__,No,No,Yes,No,No,No,No,No,No,Don't know,4,5 - A lot more of an impact,Yes,3 – About the same
53317,23/03/2022 19:30,week 54,Always,Sometimes,Always,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,Sometimes,Not at all,1.248057742,29,Male,New South Wales,Prefer not to say,Full time employment,Not at all,No,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Prefer not to say,3 – About the same,3 – About the same,No,2
53318,23/03/2022 21:17,week 54,Always,Sometimes,Always,Always,Not at all,Not at all,Sometimes,Rarely,Always,Always,Always,Not at all,1.044972216,29,Female,Queensland,2,Unemployed,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,1 – A lot less impact,No,1 – A lot less impact
53319,23/03/2022 21:32,week 54,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,0.871396484,46,Male,Victoria,2,Not working,Always,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
53320,23/03/2022 21:37,week 54,Always,Frequently,Always,Always,Rarely,Not at all,Frequently,Rarely,Rarely,Always,Frequently,Not at all,0.871396484,38,Male,Victoria,3,Full time employment,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,3 – About the same,5 - A lot more of an impact,No,1 – A lot less impact
53321,23/03/2022 21:38,week 54,Rarely,Always,Always,Frequently,Not at all,Not at all,Frequently,Not at all,Not at all,Not at all,Rarely,Rarely,1.045017908,27,Female,Victoria,4,Full time employment,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,4,3 – About the same,No,5 - A lot more of an impact
53322,23/03/2022 21:40,week 54,Sometimes,Sometimes,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1.045017908,33,Female,Victoria,2,Full time employment,Not at all,No,Don’t feel the need,No,No,No,No,No,No,No,No,Yes,0,1 – A lot less impact,1 – A lot less impact,No,1 – A lot less impact
53323,23/03/2022 21:41,week 54,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1.103762522,28,Male,Victoria,2,Unemployed,Not at all, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,2
53324,23/03/2022 21:41,week 54,Always,Frequently,Always,Always,Not at all,Always,Sometimes,Not at all,Not at all,Not at all,Frequently,Not at all,1.044972216,31,Female,Queensland,1,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53325,23/03/2022 21:42,week 54,Always,Always,Always,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,1.045017908,34,Female,Victoria,3,Unemployed,Frequently,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,1,3 – About the same,2,Yes,2
53326,23/03/2022 21:44,week 54,Not at all,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.803936432,34,Female,New South Wales,4,Unemployed,Always,No,__NA__,No,No,No,No,No,No,No,No,Yes,2,3 – About the same,2,Yes,1 – A lot less impact
53327,23/03/2022 21:55,week 54,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Always,Always,Frequently,0.803936432,30,Female,New South Wales,2,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53328,23/03/2022 21:55,week 54,Frequently,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Always,Not at all,Not at all,0.745717068,62,Female,New South Wales,3,Retired,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,3 – About the same,3 – About the same,No,2
53329,23/03/2022 21:57,week 54,Not at all,Rarely,Not at all,Not at all,Rarely,Not at all,Not at all,Sometimes,Sometimes,Sometimes,Not at all,Not at all,0.754580239,59,Female,Queensland,2,Part time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53330,23/03/2022 22:10,week 54,Not at all,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.976049966,38,Female,New South Wales,3,Full time employment,Not at all,No,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,3 – About the same,3 – About the same,No,3 – About the same
53331,23/03/2022 22:12,week 54,Sometimes,Always,Frequently,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,0.810943348,18,Female,New South Wales,5,Part time employment,Not at all,No,adviced not to get it straight after having covid,Yes,Yes,Yes,No,No,No,No,No,No,0,3 – About the same,3 – About the same,Yes,3 – About the same
53332,23/03/2022 22:12,week 54,Always,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.874049975,36,Male,Western Australia,3,Not working,Not at all,No,It’s all bullshit,No,No,No,No,No,No,No,No,Yes,1,1 – A lot less impact,1 – A lot less impact,Yes,1 – A lot less impact
53333,23/03/2022 22:16,week 54,Rarely,Rarely,Always,Always,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.985314419,47,Male,New South Wales,5,Part time employment,Not at all,No,I don’t think a booster is needed.,No,No,No,No,No,No,No,No,Yes,3,3 – About the same,4,No,3 – About the same
53334,23/03/2022 22:23,week 54,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,0.848267044,55,Male,Victoria,Prefer not to say,Unemployed,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Don't know,5 - A lot more of an impact,5 - A lot more of an impact,No,5 - A lot more of an impact
53335,23/03/2022 22:23,week 54,Sometimes,Always,Always,Frequently,Rarely,Frequently,Sometimes,Frequently,Frequently,Sometimes,Sometimes,Rarely,0.871396484,38,Male,Victoria,1,Full time employment,Sometimes,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,0,3 – About the same,2,No,1 – A lot less impact
53336,23/03/2022 22:24,week 54,Always,Frequently,Always,Always,Frequently,Sometimes,Always,Frequently,Frequently,Always,Always,Frequently,1.080148819,66,Female,South Australia,2,Not working,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53337,23/03/2022 22:25,week 54,Always,Rarely,Always,Frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,1.098087052,33,Female,New South Wales,1,Full time employment,Not at all,No,I've had COVID,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,2,Yes,2
53338,23/03/2022 22:26,week 54,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,0.95916126,54,Male,New South Wales,2,Unemployed,Always,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
53339,23/03/2022 22:26,week 54,Not at all,Rarely,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.714590092,39,Female,New South Wales,5,Not working,Not at all,No,"had covid, wasn't that bad",No,No,No,No,No,No,No,No,Yes,3,3 – About the same,2,Yes,1 – A lot less impact
53340,23/03/2022 22:31,week 54,Rarely,Rarely,Frequently,Sometimes,Not at all,Rarely,Always,Rarely,Rarely,Sometimes,Rarely,Not at all,0.871396484,48,Male,Victoria,2,Full time employment,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,1 – A lot less impact,1 – A lot less impact,Yes,1 – A lot less impact
53341,23/03/2022 22:40,week 54,Sometimes,Frequently,Frequently,Sometimes,Not at all,Not at all,Not at all,Sometimes,Rarely,Sometimes,Frequently,Not at all,0.985314419,45,Male,New South Wales,4,Full time employment,Sometimes,Yes,__NA__,Yes,No,Yes,Yes,No,No,No,No,No,2,3 – About the same,3 – About the same,No,3 – About the same
53342,23/03/2022 22:41,week 54,Frequently,Sometimes,Always,Frequently,Not at all,Rarely,Rarely,Rarely,Not at all,Not at all,Sometimes,Not at all,1.346418648,80,Female,Australian Capital Territory,1,Retired,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53343,23/03/2022 22:45,week 54,Frequently,Frequently,Always,Sometimes,Sometimes,Frequently,Always,Sometimes,Sometimes,Frequently,Not at all,Rarely,0.892158875,46,Male,New South Wales,1,Full time employment,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53344,23/03/2022 22:53,week 54,Frequently,Frequently,Always,Frequently,Always,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,1.346418648,70,Female,Australian Capital Territory,2,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53345,23/03/2022 22:55,week 54,Frequently,Frequently,Always,Always,Sometimes,Frequently,Rarely,Sometimes,Sometimes,Frequently,Frequently,Sometimes,0.976049966,49,Female,New South Wales,4,Not working,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,2,3 – About the same,2,No,2
53346,23/03/2022 22:56,week 54,Always,Sometimes,Always,Rarely,Rarely,Always,Always,Not at all,Not at all,Rarely,Rarely,Not at all,0.985314419,41,Male,New South Wales,2,Full time employment,Rarely,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,0,5 - A lot more of an impact,4,No,3 – About the same
53347,23/03/2022 22:56,week 54,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Always,Always,1.612186502,80,Female,New South Wales,1,Not working,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,5 - A lot more of an impact,4,No,3 – About the same
53348,23/03/2022 22:58,week 54,Rarely,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.95916126,64,Male,New South Wales,1,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,4,No,4
53349,23/03/2022 23:04,week 54,Always,Always,Always,Always,Frequently,Always,Always,Frequently,Always,Always,Frequently,Frequently,0.95916126,64,Male,New South Wales,6,Retired,Frequently,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,0,3 – About the same,3 – About the same,No,2
53350,23/03/2022 23:06,week 54,Always,Always,Always,Always,Sometimes,Rarely,Always,Frequently,Frequently,Frequently,Always,Rarely,0.555527147,41,Male,South Australia,4,Full time employment,Rarely,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,3 – About the same,3 – About the same,No,3 – About the same
53351,23/03/2022 23:06,week 54,Always,Always,Always,Always,Frequently,Sometimes,Always,Rarely,Frequently,Always,Frequently,Frequently,1.353131215,76,Female,Victoria,1,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,Yes,1 – A lot less impact
53352,23/03/2022 23:06,week 54,Always,Frequently,Always,Always,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Frequently,Sometimes,0.985314419,44,Male,New South Wales,4,Full time employment,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,3 – About the same,3 – About the same,No,3 – About the same
53353,23/03/2022 23:08,week 54,Sometimes,Rarely,Frequently,Always,Rarely,Rarely,Always,Rarely,Sometimes,Frequently,Frequently,Rarely,0.848267044,61,Male,Victoria,2,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53354,23/03/2022 23:08,week 54,Sometimes,Sometimes,Always,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1.044972216,34,Female,Queensland,1,Full time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,2
53355,23/03/2022 23:09,week 54,Frequently,Sometimes,Always,Sometimes,Always,Always,Always,Frequently,Sometimes,Sometimes,Frequently,Always,1.243706662,18,Female,South Australia,Prefer not to say,Not working,Sometimes, ,__NA__,No,No,No,No,No,No,No,No,Yes,Prefer not to say,5 - A lot more of an impact,4,No,3 – About the same
53356,23/03/2022 23:11,week 54,Rarely,Sometimes,Frequently,Always,Not at all,Always,Rarely,Rarely,Rarely,Rarely,Rarely,Not at all,0.892158875,40,Male,New South Wales,2,Part time employment,Not at all,Yes,__NA__,Yes,No,No,No,No,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53357,23/03/2022 23:14,week 54,Sometimes,Rarely,Always,Rarely,Not at all,Not at all,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,0.95916126,63,Male,New South Wales,1,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53358,23/03/2022 23:15,week 54,Not at all,Rarely,Always,Sometimes,Frequently,Always,Always,Sometimes,Always,Always,Always,Sometimes,0.871396484,48,Male,Victoria,2,Part time employment,Rarely,No,__NA__,Yes,No,Yes,No,No,No,No,No,No,0,3 – About the same,3 – About the same,Yes,3 – About the same
53359,23/03/2022 23:16,week 54,Always,Always,Always,Always,Rarely,Always,Always,Rarely,Sometimes,Always,Always,Not at all,1.098087052,33,Female,New South Wales,2,Part time employment,Always,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,5 - A lot more of an impact,5 - A lot more of an impact,Yes,5 - A lot more of an impact
53360,23/03/2022 23:18,week 54,Always,Always,Always,Always,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,Not at all,1.624731171,32,Female,Western Australia,5,Not working,Rarely,No,__NA__,No,No,No,No,No,No,No,No,Yes,1,1 – A lot less impact,1 – A lot less impact,No,1 – A lot less impact
53361,23/03/2022 23:27,week 54,Frequently,Frequently,Always,Frequently,Rarely,Not at all,Sometimes,Not at all,Not at all,Always,Frequently,Sometimes,1.180321234,77,Female,New South Wales,2,Retired,Sometimes,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,3 – About the same,No,3 – About the same
53362,23/03/2022 23:38,week 54,Rarely,Sometimes,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Frequently,1.044972216,28,Female,Queensland,2,Not working,Always,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,3 – About the same,2,No,2
53363,23/03/2022 23:38,week 54,Not at all,Rarely,Frequently,Rarely,Not at all,Rarely,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,0.813491565,31,Female,Queensland,Prefer not to say,Part time employment,Not at all, ,__NA__,No,No,No,No,No,No,No,No,Yes,Prefer not to say,3 – About the same,3 – About the same,No,3 – About the same
53364,23/03/2022 23:39,week 54,Not at all,Frequently,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.892158875,47,Male,New South Wales,5,Full time employment,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,3,2,2,No,1 – A lot less impact
53365,23/03/2022 23:40,week 54,Not at all,Always,Always,Sometimes,Frequently,Always,Always,Frequently,Frequently,Frequently,Frequently,Frequently,0.928838105,45,Female,Queensland,5,Part time employment,Always,Yes,__NA__,No,No,No,No,No,No,No,No,Yes,1,3 – About the same,3 – About the same,No,3 – About the same
53366,23/03/2022 23:45,week 54,Always,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Frequently,Always,Frequently,1.045017908,31,Female,Victoria,3,Part time employment,Frequently,No,I havent had a chance to go get my booster,No,No,No,No,No,No,No,No,Yes,1,5 - A lot more of an impact,5 - A lot more of an impact,Yes,5 - A lot more of an impact
53367,24/03/2022 12:07,week 54,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.880970595,41,Male,Queensland,1,Full time employment,Not at all,No,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,Yes,3 – About the same
53368,23/03/2022 23:51,week 54,Not at all,Always,Always,Always,Sometimes,Sometimes,Not at all,Not at all,Rarely,Rarely,Sometimes,Rarely,0.866118308,46,Female,Northern Territory,4,Full time employment,Sometimes,No,__NA__,No,No,No,No,No,No,No,No,Yes,1,2,2,Yes,2
53369,23/03/2022 23:53,week 54,Not at all,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.871396484,49,Male,Victoria,1,Retired,Not at all,Yes,__NA__,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,1 – A lot less impact,1 – A lot less impact,No,1 – A lot less impact
53370,24/03/2022 00:13,week 54,Not at all,Sometimes,Frequently,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,0.848267044,50,Male,Victoria,1,Part time employment,Not at all, ,__NA__,No,No,No,No,No,No,No,No,Yes,0,3 – About the same,3 – About the same,No,3 – About the same
53371,24/03/2022 00:36,week 54,Always,Frequently,Sometimes,Always,Rarely,Rarely,Sometimes,Always,Always,Always,Always,Rarely,0.976049966,41,Female,New South Wales,2,Part time employment,Always,No,__NA__,Yes,Yes,Yes,Yes,No,No,No,No,No,0,3 – About the same,4,No,4
53372,24/03/2022 01:45,week 54,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,1.045017908,26,Female,Victoria,3,Not working,Sometimes,No,__NA__,No,No,No,No,No,No,No,No,Yes,Don't know,3 – About the same,3 – About the same,No,3 – About the same
